epoch,accuracy,dice_coef,loss,lr,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
0,0.9809765815734863,0.27860382199287415,0.08564384281635284,0.001,0.6524982452392578,0.9807479977607727,0.9785293936729431,0.9939785003662109,0.9821120500564575,0.2816724479198456,0.06949138641357422,0.73276686668396,0.9820027947425842,0.982021689414978,0.9940000176429749
1,0.9813043475151062,0.29592442512512207,0.06910818815231323,0.001,0.5455118417739868,0.9815711975097656,0.9804925918579102,0.9938677549362183,0.9821083545684814,0.3024637997150421,0.06582577526569366,0.4653129279613495,0.9819293022155762,0.9818761944770813,0.9939851760864258
2,0.981931746006012,0.33710622787475586,0.06181136891245842,0.001,0.5274194478988647,0.9831207394599915,0.9809561967849731,0.994372546672821,0.9841245412826538,0.3625980317592621,0.05471307411789894,0.8082995414733887,0.9851647615432739,0.9831661581993103,0.9950463175773621
3,0.9850857257843018,0.41456377506256104,0.04986878111958504,0.001,0.6572846174240112,0.9873685836791992,0.982468843460083,0.9957600235939026,0.9867978096008301,0.4553022086620331,0.04320327937602997,0.8204639554023743,0.9898107051849365,0.9831025004386902,0.9965605735778809
4,0.9876062273979187,0.4807867109775543,0.04013250395655632,0.001,0.7959050536155701,0.9893536567687988,0.9852466583251953,0.996417224407196,0.9888311624526978,0.5169029235839844,0.03705928474664688,0.8225744962692261,0.9904047846794128,0.9868535995483398,0.9967756271362305
5,0.9887974858283997,0.5236419439315796,0.035996150225400925,0.001,0.8125125765800476,0.9901853799819946,0.9867665767669678,0.996700644493103,0.9905694127082825,0.554157555103302,0.03148658573627472,0.8148065805435181,0.991433322429657,0.9889361262321472,0.997116208076477
6,0.9899057745933533,0.5490553379058838,0.03240807354450226,0.001,0.8166226148605347,0.9908640384674072,0.988110363483429,0.9969275593757629,0.9900927543640137,0.5709323883056641,0.03190753981471062,0.8189592361450195,0.9906466603279114,0.9886447191238403,0.9968599677085876
7,0.9911540150642395,0.5845116972923279,0.02913496270775795,0.001,0.8176568746566772,0.9917322993278503,0.9895647764205933,0.9972182512283325,0.9915767908096313,0.5595698356628418,0.028195077553391457,0.8240479230880737,0.99249267578125,0.9896379113197327,0.9974607229232788
8,0.9912772178649902,0.5871537923812866,0.02788933552801609,0.001,0.8160123825073242,0.9919430613517761,0.9896054863929749,0.9972873330116272,0.992350697517395,0.6071643829345703,0.02435767650604248,0.8106791973114014,0.9929705858230591,0.9907543063163757,0.997628390789032
9,0.991572380065918,0.6024959087371826,0.026590140536427498,0.001,0.8158091306686401,0.992164671421051,0.9899047017097473,0.9973607659339905,0.9925760626792908,0.6096482872962952,0.023774050176143646,0.8178547024726868,0.9929971098899841,0.9911301136016846,0.9976380467414856
10,0.9921367764472961,0.6169270873069763,0.02504762075841427,0.001,0.8247382640838623,0.9925995469093323,0.9905732870101929,0.9975062608718872,0.9930306077003479,0.6264176964759827,0.021787146106362343,0.8091164827346802,0.9933465123176575,0.9915775060653687,0.9977589845657349
11,0.9922974109649658,0.6223739981651306,0.02419120818376541,0.001,0.815701961517334,0.9927007555961609,0.9907782077789307,0.9975410103797913,0.9926422238349915,0.6265666484832764,0.02352326735854149,0.8172402381896973,0.9928426146507263,0.9913689494132996,0.9975918531417847
12,0.9927485585212708,0.6339619755744934,0.023001886904239655,0.001,0.82859206199646,0.9930447936058044,0.9912790656089783,0.9976556301116943,0.9924317598342896,0.6224338412284851,0.023402074351906776,0.8106969594955444,0.9926249384880066,0.9912754893302917,0.997524619102478
13,0.9937098026275635,0.6654680371284485,0.019151045009493828,0.00020000001,0.8132718801498413,0.9937688708305359,0.9923796057701111,0.9979004859924316,0.9938359260559082,0.6547279357910156,0.018895527347922325,0.8167302012443542,0.9940140843391418,0.9924647212028503,0.9979836344718933
14,0.9939189553260803,0.6720930933952332,0.018282977864146233,0.00020000001,0.8206123113632202,0.9939743876457214,0.9925743937492371,0.9979686141014099,0.9941921830177307,0.6653850674629211,0.01766475848853588,0.8286747932434082,0.9942882657051086,0.9929103255271912,0.9980750679969788
15,0.9941681027412415,0.6815131902694702,0.01726953499019146,0.00020000001,0.8281362056732178,0.9941931366920471,0.9928382039070129,0.9980424046516418,0.9942077398300171,0.6728336215019226,0.017514612525701523,0.8330188393592834,0.9942101240158081,0.9929826855659485,0.998051643371582
16,0.9944059252738953,0.6881955862045288,0.0163775272667408,0.00020000001,0.8285667896270752,0.9943953156471252,0.9930820465087891,0.9981089234352112,0.994502604007721,0.6747876405715942,0.016928499564528465,0.8268568515777588,0.994428277015686,0.9933673143386841,0.9981235265731812
17,0.9945329427719116,0.690597653388977,0.016065331175923347,0.00020000001,0.8253253698348999,0.9944815039634705,0.9932283759117126,0.9981390237808228,0.9946848154067993,0.6821405291557312,0.015851084142923355,0.8216202259063721,0.9946354627609253,0.9934933185577393,0.9981931447982788
18,0.9947516322135925,0.6961550116539001,0.015282473526895046,0.00020000001,0.8243064880371094,0.9946686625480652,0.9934674501419067,0.9982004761695862,0.9948425889015198,0.6831328868865967,0.015329918824136257,0.8222731947898865,0.9947583079338074,0.9936147928237915,0.9982324242591858
19,0.9948737025260925,0.7029380798339844,0.014833792112767696,0.00020000001,0.8206783533096313,0.9947442412376404,0.993622899055481,0.9982276558876038,0.9947477579116821,0.6693671345710754,0.015721498057246208,0.8160583972930908,0.9948108196258545,0.9933832883834839,0.9982418417930603
20,0.9948593378067017,0.7014907002449036,0.014825726859271526,0.00020000001,0.8220803737640381,0.9947367310523987,0.9935893416404724,0.9982234239578247,0.9948312044143677,0.6856139302253723,0.015638452023267746,0.8192294239997864,0.9947226643562317,0.9936455488204956,0.9982220530509949
21,0.9952422380447388,0.7126207947731018,0.013593536801636219,4.0000003e-05,0.8183172941207886,0.9950610995292664,0.9940100908279419,0.9983335137367249,0.9950851798057556,0.6958841681480408,0.014561932533979416,0.8175663948059082,0.9949247241020203,0.9939293265342712,0.9982907176017761
22,0.9954145550727844,0.7178007364273071,0.013061076402664185,4.0000003e-05,0.8190498352050781,0.9951960444450378,0.9942090511322021,0.9983794093132019,0.9951483607292175,0.70059734582901,0.014418326318264008,0.8202147483825684,0.9949626326560974,0.9940317869186401,0.9983036518096924
23,0.9954720735549927,0.7205820679664612,0.012831656262278557,4.0000003e-05,0.8210829496383667,0.9952389597892761,0.9942760467529297,0.9983944296836853,0.9951602220535278,0.7004445791244507,0.01428318116813898,0.8210495114326477,0.9949817061424255,0.9940142035484314,0.9983094334602356
24,0.9955443143844604,0.7227094769477844,0.012625589966773987,4.0000003e-05,0.8236914873123169,0.9952892065048218,0.9943597316741943,0.9984107613563538,0.9951702356338501,0.7018613219261169,0.014247129671275616,0.8199031352996826,0.9949749708175659,0.9940397143363953,0.9983083605766296
25,0.9955970048904419,0.7243767380714417,0.012453743256628513,4.0000003e-05,0.8274781107902527,0.9953286051750183,0.9944148063659668,0.9984239935874939,0.9952259659767151,0.706722617149353,0.014231927692890167,0.8312230110168457,0.99500972032547,0.9941375255584717,0.9983211755752563
26,0.9957014918327332,0.7279978394508362,0.012142952531576157,8.000001e-06,0.8317673206329346,0.9954188466072083,0.9945325255393982,0.9984552264213562,0.995242178440094,0.7071533203125,0.01420300081372261,0.8288654088973999,0.9950186014175415,0.9941576719284058,0.9983235597610474
27,0.9957189559936523,0.7286478877067566,0.012086676433682442,8.000001e-06,0.8298996090888977,0.9954271912574768,0.9945541024208069,0.9984580278396606,0.9952490329742432,0.7069976925849915,0.01413920521736145,0.8289034962654114,0.9950307607650757,0.9941556453704834,0.9983277320861816
28,0.9957327246665955,0.7287681698799133,0.012029771693050861,8.000001e-06,0.8306986093521118,0.9954404830932617,0.9945654273033142,0.9984619617462158,0.9952487945556641,0.7078637480735779,0.014213087037205696,0.8303483724594116,0.9950248003005981,0.9941655397415161,0.9983260035514832
29,0.9957471489906311,0.7294366359710693,0.012000882998108864,8.000001e-06,0.8325515985488892,0.9954503178596497,0.9945846796035767,0.9984657168388367,0.9952409863471985,0.70758056640625,0.014166873879730701,0.8298733234405518,0.9950119853019714,0.9941539168357849,0.9983217120170593
30,0.9957683682441711,0.7297967076301575,0.011931002140045166,1.6000001e-06,0.8315204381942749,0.9954661130905151,0.994602620601654,0.9984705448150635,0.9952558279037476,0.7087535262107849,0.014197266660630703,0.8310325145721436,0.9950213432312012,0.9941807389259338,0.9983253479003906
31,0.9957723021507263,0.7305586338043213,0.01191735826432705,1.6000001e-06,0.8320104479789734,0.9954656362533569,0.9946156740188599,0.9984706044197083,0.9952542781829834,0.7086365818977356,0.014184276573359966,0.8312158584594727,0.9950217604637146,0.9941773414611816,0.9983254671096802
32,0.9957769513130188,0.7303544282913208,0.011904502287507057,1e-06,0.8321945071220398,0.9954724907875061,0.9946158528327942,0.9984731078147888,0.9952583312988281,0.7088879346847534,0.014196396805346012,0.8317314386367798,0.995024561882019,0.9941844344139099,0.9983262419700623
33,0.9957786202430725,0.7307280898094177,0.011899257078766823,1e-06,0.8326497077941895,0.9954726099967957,0.9946215748786926,0.9984732866287231,0.9952574968338013,0.7087907195091248,0.014183798804879189,0.8316678404808044,0.9950244426727295,0.9941824674606323,0.9983260631561279
34,0.9957805871963501,0.7306295037269592,0.011894348077476025,1e-06,0.8325822949409485,0.9954739212989807,0.9946221709251404,0.9984740018844604,0.9952602982521057,0.7090395092964172,0.01420279685407877,0.832313060760498,0.9950258135795593,0.9941878318786621,0.9983267784118652
35,0.995781660079956,0.7307496666908264,0.011888188309967518,1e-06,0.8330214619636536,0.9954745769500732,0.9946253299713135,0.9984749555587769,0.9952611327171326,0.7090018391609192,0.014193580485880375,0.8323925733566284,0.9950265288352966,0.9941872954368591,0.9983269572257996
36,0.9957839846611023,0.7308080196380615,0.011883625760674477,1e-06,0.833603024482727,0.9954771995544434,0.9946267604827881,0.998475193977356,0.9952607154846191,0.70904141664505,0.014192354865372181,0.8325732946395874,0.9950255155563354,0.9941878914833069,0.9983263611793518
37,0.9957857131958008,0.7308860421180725,0.011878502555191517,1e-06,0.8338626027107239,0.9954771995544434,0.9946287870407104,0.9984749555587769,0.9952619671821594,0.7091808319091797,0.014205883257091045,0.8338406085968018,0.9950264692306519,0.9941915273666382,0.9983269572257996
38,0.9957870841026306,0.7309132814407349,0.011873407289385796,1e-06,0.834438145160675,0.9954787492752075,0.994629979133606,0.9984753131866455,0.9952622652053833,0.7092369794845581,0.01420651189982891,0.8342865705490112,0.9950258135795593,0.9941917657852173,0.9983264207839966
39,0.9957888126373291,0.7311132550239563,0.01186814159154892,1e-06,0.8351218700408936,0.9954802393913269,0.9946353435516357,0.9984754323959351,0.9952602982521057,0.7090202569961548,0.0141834681853652,0.8341442346572876,0.9950246214866638,0.9941878914833069,0.9983267784118652
40,0.9957897067070007,0.7310574054718018,0.01186405960470438,1e-06,0.8352048397064209,0.9954808354377747,0.9946355223655701,0.9984762072563171,0.9952622652053833,0.7091963887214661,0.014194963499903679,0.8346701860427856,0.9950268864631653,0.9941911101341248,0.9983273148536682
41,0.9957912564277649,0.7310901880264282,0.011857832781970501,1e-06,0.8352968096733093,0.9954841136932373,0.9946359992027283,0.9984771609306335,0.9952633380889893,0.709258496761322,0.014200463891029358,0.8349344730377197,0.9950267672538757,0.9941931962966919,0.9983270168304443
42,0.9957934021949768,0.7312338352203369,0.011853966861963272,1e-06,0.835374116897583,0.9954830408096313,0.9946401119232178,0.9984763264656067,0.9952637553215027,0.7094500064849854,0.01421376969665289,0.8352533578872681,0.9950268864631653,0.9941961169242859,0.9983266592025757
43,0.9957952499389648,0.7312487363815308,0.01184813305735588,1e-06,0.8357000350952148,0.9954853653907776,0.9946405291557312,0.9984779953956604,0.9952645897865295,0.7093313336372375,0.014200658537447453,0.8352290391921997,0.995028018951416,0.9941952228546143,0.9983271360397339
44,0.9957966804504395,0.7312920689582825,0.01184257585555315,1e-06,0.8358739614486694,0.9954860806465149,0.9946425557136536,0.9984784722328186,0.9952654242515564,0.709334135055542,0.014195968396961689,0.8352206349372864,0.9950278401374817,0.9941954016685486,0.9983270168304443
45,0.9957985877990723,0.7311444282531738,0.011838523671030998,1e-06,0.8357385993003845,0.9954877495765686,0.994642972946167,0.9984793663024902,0.9952658414840698,0.7094799280166626,0.01420290395617485,0.8353527188301086,0.9950281977653503,0.9941977858543396,0.9983271360397339
46,0.9958006143569946,0.7313832640647888,0.011833570897579193,1e-06,0.8358595967292786,0.9954884052276611,0.9946457743644714,0.998478889465332,0.9952670335769653,0.7096072435379028,0.014209965243935585,0.8354974985122681,0.9950286746025085,0.9942001700401306,0.9983274340629578
47,0.9958015084266663,0.7315037846565247,0.011828959919512272,1e-06,0.8360427618026733,0.9954894185066223,0.9946483373641968,0.9984785914421082,0.9952661991119385,0.7094798684120178,0.014196869917213917,0.8353419303894043,0.9950275421142578,0.9941973686218262,0.9983271956443787
48,0.9958040714263916,0.7314043641090393,0.011822333559393883,1e-06,0.8359533548355103,0.9954925179481506,0.994648814201355,0.9984800219535828,0.9952682852745056,0.7096983194351196,0.014212539419531822,0.8356422781944275,0.9950289130210876,0.9942027926445007,0.9983274340629578
49,0.9958052039146423,0.7316671013832092,0.011818597093224525,1e-06,0.8363133668899536,0.9954915642738342,0.9946542382240295,0.998479962348938,0.9952682256698608,0.7096455097198486,0.01419990137219429,0.8355717658996582,0.995029091835022,0.9942010641098022,0.9983272552490234
50,0.9958064556121826,0.7317840456962585,0.01181189063936472,1e-06,0.8362653255462646,0.9954935908317566,0.9946562051773071,0.9984803199768066,0.9952672719955444,0.7093104720115662,0.014172397553920746,0.8352218270301819,0.9950284957885742,0.9941961169242859,0.9983274340629578
51,0.9958078861236572,0.7316578030586243,0.011808624491095543,1e-06,0.8361787796020508,0.9954932332038879,0.994655430316925,0.9984815120697021,0.9952682852745056,0.7096273303031921,0.014194484800100327,0.8357168436050415,0.9950299263000488,0.9942007660865784,0.9983277916908264
52,0.9958106875419617,0.7316733598709106,0.011802815832197666,1e-06,0.8362598419189453,0.9954963326454163,0.994657039642334,0.998481810092926,0.9952713251113892,0.7098014950752258,0.014202256686985493,0.8358950614929199,0.9950316548347473,0.9942054152488708,0.9983286261558533
53,0.9958111643791199,0.7317546606063843,0.011797767132520676,1e-06,0.836431622505188,0.9954971075057983,0.9946595430374146,0.9984821081161499,0.9952712059020996,0.709601879119873,0.014178408309817314,0.8356548547744751,0.9950313568115234,0.9942023754119873,0.9983282089233398
54,0.9958130121231079,0.7316809296607971,0.0117943761870265,1e-06,0.8362947106361389,0.9954996109008789,0.994658350944519,0.9984827637672424,0.995271623134613,0.7098661065101624,0.014201650395989418,0.8359516859054565,0.99503093957901,0.9942061901092529,0.9983285665512085
55,0.9958141446113586,0.7318877577781677,0.01178781595081091,1e-06,0.836519718170166,0.9954991340637207,0.9946629405021667,0.9984830021858215,0.9952726364135742,0.7099519371986389,0.014205132611095905,0.8361254334449768,0.9950308203697205,0.9942087531089783,0.9983285069465637
56,0.9958163499832153,0.73200923204422,0.01178243849426508,1e-06,0.8367018699645996,0.995499849319458,0.9946651458740234,0.9984833002090454,0.9952734112739563,0.7100524306297302,0.014209183864295483,0.8362417221069336,0.995031476020813,0.9942102432250977,0.998328685760498
57,0.9958181381225586,0.7320995330810547,0.011776627972722054,1e-06,0.8369714021682739,0.9955025911331177,0.9946688413619995,0.9984839558601379,0.9952728748321533,0.7099025249481201,0.014188670553267002,0.8360365629196167,0.9950306415557861,0.9942072033882141,0.9983283877372742
58,0.9958199858665466,0.7321757674217224,0.011773243546485901,1e-06,0.8367396593093872,0.9955020546913147,0.9946695566177368,0.9984838962554932,0.9952756762504578,0.7101429104804993,0.014210142195224762,0.8364928960800171,0.9950329065322876,0.9942129850387573,0.9983289837837219
59,0.9958212971687317,0.732189416885376,0.011767525225877762,1e-06,0.8370633125305176,0.9955037832260132,0.9946727156639099,0.9984838366508484,0.995274007320404,0.7098714709281921,0.014180338010191917,0.8361308574676514,0.9950319528579712,0.9942082762718201,0.998328685760498
60,0.9958230257034302,0.7321255207061768,0.011763205751776695,1e-06,0.8369009494781494,0.9955044388771057,0.9946718215942383,0.9984840750694275,0.9952760934829712,0.7101115584373474,0.014204832725226879,0.8365437984466553,0.995033860206604,0.9942125082015991,0.9983294010162354
61,0.9958239793777466,0.7324263453483582,0.011757335625588894,1e-06,0.8374495506286621,0.9955065846443176,0.9946759939193726,0.9984849095344543,0.9952759742736816,0.7098805904388428,0.0141782620921731,0.8362176418304443,0.9950329661369324,0.9942099452018738,0.9983289837837219
62,0.995826780796051,0.732236921787262,0.011751338839530945,1e-06,0.8371440172195435,0.9955087900161743,0.994674026966095,0.998485803604126,0.9952772259712219,0.7100521326065063,0.014189553447067738,0.8364205360412598,0.9950338006019592,0.9942136406898499,0.9983291029930115
63,0.9958271980285645,0.7324126362800598,0.011748621240258217,1e-06,0.8371578454971313,0.9955089092254639,0.9946789741516113,0.9984859824180603,0.9952768087387085,0.7100282907485962,0.01418429147452116,0.8364664316177368,0.9950336217880249,0.9942120313644409,0.9983293414115906
64,0.9958295226097107,0.732525110244751,0.011743138544261456,1e-06,0.8373479843139648,0.9955099821090698,0.9946818351745605,0.9984862804412842,0.9952777624130249,0.7100017666816711,0.014180704019963741,0.836499810218811,0.9950342178344727,0.9942125082015991,0.9983295798301697
65,0.9958317279815674,0.7325994372367859,0.011737609282135963,1e-06,0.8375305533409119,0.995512068271637,0.994684636592865,0.9984869956970215,0.9952772259712219,0.7099024057388306,0.014168869704008102,0.8364665508270264,0.9950348138809204,0.9942106604576111,0.998329758644104
66,0.9958322048187256,0.7325177788734436,0.011732320301234722,1e-06,0.8374228477478027,0.995512843132019,0.9946828484535217,0.9984870553016663,0.9952780604362488,0.7100159525871277,0.014175811782479286,0.836530327796936,0.9950346946716309,0.994213342666626,0.9983295798301697
67,0.9958342909812927,0.7324464917182922,0.0117289824411273,1e-06,0.8373795747756958,0.9955143332481384,0.9946843385696411,0.9984871745109558,0.9952809810638428,0.7103471159934998,0.014199009165167809,0.8368880748748779,0.9950367212295532,0.9942187666893005,0.99833083152771
