epoch,accuracy,dice_coef,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9720022678375244,0.3606306314468384,0.0996667817234993,1e-04,0.6520794034004211,0.978671133518219,0.9598694443702698,0.993579626083374,0.9800806045532227,0.4207591116428375,0.06340152025222778,0.7174950838088989,0.9896263480186462,0.9653401374816895,0.9961674213409424
1,0.9808163642883301,0.4457917809486389,0.056522633880376816,1e-04,0.7773752212524414,0.9871016144752502,0.9725951552391052,0.9954931139945984,0.9848353862762451,0.4907739758491516,0.046123817563056946,0.8276089429855347,0.9883615374565125,0.9788554906845093,0.9959733486175537
2,0.9833565950393677,0.4970817267894745,0.04978466406464577,1e-04,0.749972403049469,0.9872232675552368,0.9775590896606445,0.9956051707267761,0.9835801124572754,0.4888527989387512,0.04956618323922157,0.6925323009490967,0.9871339201927185,0.9781299829483032,0.9956439137458801
3,0.9859286546707153,0.5328434705734253,0.041699983179569244,1e-04,0.7539185881614685,0.9881129264831543,0.9817816615104675,0.995952308177948,0.9849717617034912,0.5384513735771179,0.045725222676992416,0.796772837638855,0.9871428608894348,0.981537938117981,0.9956600069999695
4,0.987450122833252,0.5653135180473328,0.036410558968782425,1e-04,0.7567477226257324,0.9890291094779968,0.9839171171188354,0.996261715888977,0.9878412485122681,0.5790739059448242,0.03541238605976105,0.7539178133010864,0.9894734025001526,0.9843277335166931,0.996428906917572
5,0.987078845500946,0.5689246654510498,0.03830567002296448,1e-04,0.7342840433120728,0.9885513782501221,0.9836046695709229,0.9961186051368713,0.9883379936218262,0.5656633973121643,0.036100856959819794,0.7296338081359863,0.9902207851409912,0.9841737747192383,0.9966541528701782
6,0.988475501537323,0.5914320945739746,0.03414704278111458,1e-04,0.7934057712554932,0.9894776344299316,0.9852954149246216,0.9964287877082825,0.9883692264556885,0.6036513447761536,0.035204995423555374,0.8484723567962646,0.9884567260742188,0.9864309430122375,0.9961286783218384
7,0.9890076518058777,0.6069878935813904,0.03217992186546326,1e-04,0.7602170705795288,0.9897850751876831,0.9860442876815796,0.9965340495109558,0.9900338053703308,0.6229485273361206,0.02946559526026249,0.8060808181762695,0.9904029965400696,0.9874361753463745,0.996756374835968
8,0.989709198474884,0.6129049062728882,0.029848966747522354,1e-04,0.790985107421875,0.9903403520584106,0.986883282661438,0.9967198967933655,0.9898442029953003,0.638640820980072,0.03027086891233921,0.7565305233001709,0.9897672533988953,0.9878665208816528,0.9965617060661316
9,0.9892463088035583,0.6159132122993469,0.031376536935567856,1e-04,0.7502133846282959,0.9897817969322205,0.9864835143089294,0.9965386390686035,0.9885607957839966,0.6131598949432373,0.03375507518649101,0.8154729604721069,0.9890046119689941,0.9864563941955566,0.9963034391403198
10,0.9911494851112366,0.640670120716095,0.025503074750304222,2e-05,0.7877994179725647,0.9913038015365601,0.9885892868041992,0.9970520734786987,0.9909123182296753,0.6434956192970276,0.026419622823596,0.7989635467529297,0.9908040165901184,0.9887016415596008,0.9969056248664856
11,0.991604208946228,0.6594254374504089,0.023975828662514687,2e-05,0.7941325306892395,0.9915545582771301,0.9891757965087891,0.9971365332603455,0.9912168979644775,0.6367858052253723,0.025797104462981224,0.7988262176513672,0.9913241863250732,0.9886536598205566,0.9970665574073792
12,0.9916571378707886,0.6550801396369934,0.02374396100640297,2e-05,0.8068060278892517,0.9916279315948486,0.9892771244049072,0.9971650838851929,0.9912208914756775,0.6411776542663574,0.025727299973368645,0.8070390224456787,0.9912788271903992,0.9887067079544067,0.9970551133155823
13,0.9920674562454224,0.6654552221298218,0.022863902151584625,2e-05,0.8012968301773071,0.9918550252914429,0.9898121356964111,0.997247040271759,0.9914532899856567,0.6530797481536865,0.025051040574908257,0.8029367923736572,0.9913398027420044,0.9891951680183411,0.9970827698707581
