epoch,accuracy,dice_coef,loss,lr,mean_io_u_5,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_5,val_precision,val_sensitivity,val_specificity
0,0.9635745286941528,0.3418131172657013,0.12111743539571762,1e-04,0.7897499799728394,0.9696606993675232,0.9480829238891602,0.9933791160583496,0.9729661345481873,0.3601274788379669,0.09604553133249283,0.8663711547851562,0.9820268154144287,0.9639577865600586,0.9938220977783203
1,0.9779800772666931,0.42385026812553406,0.06713483482599258,1e-04,0.8412527441978455,0.9855396747589111,0.9689618349075317,0.9949833154678345,0.9824614524841309,0.45764249563217163,0.05649658665060997,0.8752317428588867,0.9856396913528442,0.9770238995552063,0.9950529932975769
2,0.9830207228660583,0.48751792311668396,0.05314888060092926,1e-04,0.8609588146209717,0.9862474203109741,0.9775925874710083,0.9953038692474365,0.9817225337028503,0.4516775608062744,0.059439800679683685,0.8226709365844727,0.9846457839012146,0.9771825671195984,0.9948016405105591
3,0.98546302318573,0.5375054478645325,0.04468664899468422,1e-04,0.8782336115837097,0.9875097870826721,0.9814415574073792,0.995751678943634,0.986335277557373,0.5544806718826294,0.04324328154325485,0.8624016046524048,0.9873809218406677,0.9835055470466614,0.9957486987113953
4,0.9873436093330383,0.572970449924469,0.03793038800358772,1e-04,0.89348965883255,0.9887681603431702,0.9840260744094849,0.996180534362793,0.9881665110588074,0.5918843150138855,0.036614544689655304,0.901321530342102,0.988923192024231,0.9855567812919617,0.9962485432624817
5,0.988186240196228,0.5913554430007935,0.03600877523422241,1e-04,0.8911356925964355,0.9891272187232971,0.9852234721183777,0.9963113069534302,0.9886096119880676,0.6177618503570557,0.0332445427775383,0.9025880098342896,0.9887656569480896,0.9864198565483093,0.9962266087532043
6,0.9886890649795532,0.5940289497375488,0.033774569630622864,1e-04,0.8990200161933899,0.9893800020217896,0.9858198165893555,0.9964020252227783,0.9894446134567261,0.5894359350204468,0.03189157694578171,0.9020737409591675,0.9904939532279968,0.9859249591827393,0.9967510104179382
7,0.9895890355110168,0.6188381314277649,0.03103126958012581,1e-04,0.9080467224121094,0.9900678396224976,0.9869351983070374,0.9966396689414978,0.9901619553565979,0.6214490532875061,0.030065547674894333,0.9299818277359009,0.9904336333274841,0.9877306222915649,0.9967622756958008
8,0.98896723985672,0.6029545068740845,0.0330488458275795,1e-04,0.9006023406982422,0.9895447492599487,0.9861763715744019,0.9964620471000671,0.9887685775756836,0.617803692817688,0.03271479159593582,0.8974816799163818,0.9888198375701904,0.9866557121276855,0.9962558746337891
9,0.9905760884284973,0.6362248659133911,0.02777816914021969,1e-04,0.9089827537536621,0.9906855225563049,0.9881750345230103,0.9968500137329102,0.9906929135322571,0.6396417021751404,0.027849523350596428,0.9184755086898804,0.9905266165733337,0.988498330116272,0.9968069195747375
10,0.9902085065841675,0.6343086957931519,0.029195701703429222,1e-04,0.9084688425064087,0.9902889728546143,0.9878024458885193,0.9967241883277893,0.9903457760810852,0.6352353096008301,0.02861790545284748,0.9278635382652283,0.9903332591056824,0.9882386922836304,0.9967443346977234
11,0.9906564354896545,0.6373348236083984,0.02777283824980259,1e-04,0.9060337543487549,0.9906402826309204,0.9883325695991516,0.9968419671058655,0.9909639358520508,0.6381016373634338,0.027169590815901756,0.9411208033561707,0.9909216165542603,0.9886446595191956,0.9969350695610046
12,0.9910082817077637,0.6579097509384155,0.026144444942474365,1e-04,0.9119457006454468,0.9908910989761353,0.9886707067489624,0.9969251155853271,0.99085932970047,0.6356145739555359,0.027479138225317,0.896220326423645,0.990688681602478,0.9885904788970947,0.9968606233596802
13,0.9917017221450806,0.6598601937294006,0.024095207452774048,1e-04,0.9239303469657898,0.9915303587913513,0.9894651770591736,0.9971326589584351,0.9862513542175293,0.6040712594985962,0.04359317570924759,0.8579996824264526,0.9868626594543457,0.9836099743843079,0.9956051111221313
14,0.9915697574615479,0.6581088900566101,0.02455635368824005,2e-05,0.9009987115859985,0.9912434816360474,0.9895008206367493,0.9970523715019226,0.991433322429657,0.6555969715118408,0.025677919387817383,0.9141930341720581,0.9911012053489685,0.9894562363624573,0.9970054030418396
15,0.9923549294471741,0.674701988697052,0.02174023725092411,2e-05,0.9220118522644043,0.9919695258140564,0.9902389645576477,0.99728924036026,0.9920018315315247,0.6647034287452698,0.024001389741897583,0.9237421751022339,0.9915615320205688,0.9900102615356445,0.9971544742584229
16,0.9927932620048523,0.6764270663261414,0.020905526354908943,2e-05,0.9276022911071777,0.9923070669174194,0.9906832575798035,0.9973973631858826,0.9920702576637268,0.6657788753509521,0.02343863807618618,0.9229217767715454,0.9916503429412842,0.9900965094566345,0.997188925743103
17,0.9927145838737488,0.6807140111923218,0.020737646147608757,2e-05,0.9294043779373169,0.9921932220458984,0.9906436204910278,0.9973652958869934,0.992169976234436,0.6701722741127014,0.02322854846715927,0.9321669340133667,0.9917412996292114,0.9901716709136963,0.9972175359725952
18,0.9932518005371094,0.6831790208816528,0.019281769171357155,2e-05,0.9347113370895386,0.992636501789093,0.9912816882133484,0.9975175261497498,0.9922021627426147,0.6686475872993469,0.023648129776120186,0.9332327842712402,0.9917289018630981,0.9902268052101135,0.9972130656242371
19,0.9933833479881287,0.6901980638504028,0.0186617411673069,2e-05,0.9408798813819885,0.9927964806556702,0.9914277195930481,0.9975690245628357,0.9923030734062195,0.674273669719696,0.02314402535557747,0.9444087743759155,0.9918386340141296,0.9903711080551147,0.9972528219223022
20,0.9931174516677856,0.6860567927360535,0.01967690698802471,4e-06,0.9411519169807434,0.9925627708435059,0.9910207390785217,0.997484564781189,0.9925535321235657,0.6776288747787476,0.022504199296236038,0.9410651326179504,0.9919987916946411,0.9906407594680786,0.9973057508468628
21,0.993249773979187,0.6904472708702087,0.01912839151918888,4e-06,0.9389363527297974,0.9926389455795288,0.9912146925926208,0.9975123405456543,0.992479145526886,0.6730540990829468,0.022546682506799698,0.9402146339416504,0.9919918775558472,0.990505039691925,0.9973028302192688
