epoch,accuracy,dice_coef,loss,lr,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
0,0.9822154641151428,0.30806973576545715,0.07810887694358826,1e-04,0.7072080969810486,0.9851135015487671,0.9763056039810181,0.9951018691062927,0.9873542189598083,0.38352474570274353,0.04152124002575874,0.7701990604400635,0.992039680480957,0.9814891815185547,0.9972077012062073
1,0.9865788817405701,0.3974129259586334,0.04606717452406883,1e-04,0.7750682830810547,0.9901741147041321,0.9822092652320862,0.9966405034065247,0.9878745675086975,0.38608112931251526,0.04423006623983383,0.7858609557151794,0.9915592074394226,0.9828247427940369,0.997110903263092
2,0.989251971244812,0.4739098846912384,0.03413226455450058,1e-04,0.7832536697387695,0.9914820194244385,0.9862943887710571,0.997097373008728,0.9900116324424744,0.47015291452407837,0.0340099073946476,0.791045069694519,0.991037130355835,0.9880785942077637,0.9969822764396667
3,0.990283727645874,0.5143150687217712,0.0304601788520813,1e-04,0.7880047559738159,0.9918797612190247,0.9878783226013184,0.9972469806671143,0.9924628734588623,0.5511054396629333,0.02345420978963375,0.7828390598297119,0.9934841990470886,0.9904477000236511,0.9977825880050659
4,0.9916689395904541,0.555934727191925,0.025600949302315712,1e-04,0.7943657636642456,0.9928014874458313,0.989534854888916,0.9975522756576538,0.992021918296814,0.5724098682403564,0.02557474374771118,0.8225467205047607,0.9925926923751831,0.9907323718070984,0.9975019097328186
5,0.9924853444099426,0.5869536399841309,0.02298785373568535,1e-04,0.811127781867981,0.9932316541671753,0.9906489849090576,0.9977060556411743,0.9903231859207153,0.5723620653152466,0.027753008529543877,0.8157103657722473,0.9912926554679871,0.9883212447166443,0.9970767498016357
6,0.9938216209411621,0.6336638927459717,0.018265390768647194,2e-05,0.8223614692687988,0.9942330121994019,0.9921767711639404,0.9980429410934448,0.9942042231559753,0.6347465515136719,0.01764034293591976,0.8293828964233398,0.9944393038749695,0.9927648901939392,0.9981165528297424
7,0.9941539168357849,0.6462254524230957,0.017210107296705246,2e-05,0.8248258829116821,0.9944006204605103,0.9926353693008423,0.9981017112731934,0.9942829608917236,0.6275925636291504,0.01729162037372589,0.8131252527236938,0.9946135878562927,0.9927117228507996,0.9981703758239746
8,0.9942760467529297,0.6522566676139832,0.0167244840413332,2e-05,0.8266459703445435,0.994476318359375,0.9927846193313599,0.9981284737586975,0.9943035244941711,0.6394811272621155,0.01701870746910572,0.8301482200622559,0.9945571422576904,0.9929555654525757,0.9981561303138733
9,0.9944162368774414,0.6576250791549683,0.016245640814304352,2e-05,0.8289304971694946,0.9945917129516602,0.9929512739181519,0.9981669783592224,0.994387686252594,0.6421158909797668,0.016806557774543762,0.8276401162147522,0.9946130514144897,0.9929601550102234,0.9981763362884521
