epoch,accuracy,dice_coef,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9620519280433655,0.399347722530365,0.1169615238904953,1e-04,0.6529220938682556,0.977512776851654,0.9420580267906189,0.9930110573768616,0.9585517048835754,0.42493489384651184,0.11175306141376495,0.7895281314849854,0.9866049289703369,0.9350981712341309,0.9950922131538391
1,0.9721590876579285,0.48107224702835083,0.07590533047914505,1e-04,0.747163712978363,0.9840598702430725,0.9580636620521545,0.9943749904632568,0.9741331934928894,0.5072806477546692,0.07147809863090515,0.8069774508476257,0.9825944304466248,0.9639980792999268,0.9939810633659363
2,0.9757005572319031,0.5281486511230469,0.06732495874166489,1e-04,0.7400038242340088,0.9827060103416443,0.9664839506149292,0.9940648674964905,0.977948009967804,0.5431017279624939,0.0625230073928833,0.7556613683700562,0.9848880767822266,0.9682691097259521,0.994765043258667
3,0.9779739379882812,0.5573374629020691,0.0604960173368454,1e-04,0.7563048601150513,0.9831981658935547,0.9705657362937927,0.9942699670791626,0.9801357984542847,0.5817869305610657,0.055766668170690536,0.7694133520126343,0.9839943647384644,0.9737744331359863,0.9945566654205322
4,0.9798738956451416,0.5949443578720093,0.0541582927107811,1e-04,0.7686201333999634,0.9836402535438538,0.973780632019043,0.9944334030151367,0.980460524559021,0.6112613081932068,0.05552777647972107,0.7782958745956421,0.9833276867866516,0.9753745794296265,0.9943768978118896
5,0.9810205101966858,0.6146795153617859,0.052237123250961304,1e-04,0.7688189744949341,0.9841281771659851,0.9753978252410889,0.9946138858795166,0.9789785742759705,0.59562087059021,0.06105995178222656,0.7831460237503052,0.9818910360336304,0.9738118052482605,0.993905246257782
6,0.982802152633667,0.6223892569541931,0.04742607846856117,1e-04,0.7547609806060791,0.9850985407829285,0.9779637455940247,0.9949650168418884,0.9822140336036682,0.6369329690933228,0.04886407405138016,0.7986006736755371,0.9844425916671753,0.97756427526474,0.9947542548179626
7,0.9844833016395569,0.6506862640380859,0.042684055864810944,1e-04,0.7829395532608032,0.9860811829566956,0.980183482170105,0.9952852725982666,0.9835671186447144,0.6606901288032532,0.04708493873476982,0.81913161277771,0.9845746159553528,0.9798553586006165,0.9948244094848633
8,0.9842767715454102,0.6440397500991821,0.043482668697834015,1e-04,0.7187816500663757,0.9860223531723022,0.9798786640167236,0.9952666759490967,0.9837790727615356,0.6493111848831177,0.0483047291636467,0.8255679607391357,0.9850590229034424,0.9801351428031921,0.9949725866317749
9,0.9854874014854431,0.6667255163192749,0.039574068039655685,1e-04,0.7435057163238525,0.9868947267532349,0.9814060926437378,0.9955635070800781,0.985639214515686,0.6760950684547424,0.04189831763505936,0.8001472353935242,0.9865244626998901,0.9821243286132812,0.9954559206962585
