epoch,accuracy,dice_coef,loss,lr,mean_io_u_2,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_2,val_precision,val_sensitivity,val_specificity
0,0.9816513657569885,0.3105686604976654,0.08404184132814407,1e-04,0.8076772689819336,0.9835338592529297,0.9718871116638184,0.9950829148292542,0.9865183234214783,0.3866005539894104,0.046274811029434204,0.8395723104476929,0.9928892254829407,0.979256808757782,0.9974649548530579
1,0.9861250519752502,0.39889606833457947,0.04840586706995964,1e-04,0.8405616879463196,0.9897165894508362,0.9817123413085938,0.9964892864227295,0.9886305928230286,0.4269888699054718,0.03755273297429085,0.8462086915969849,0.9906285405158997,0.985917866230011,0.9968100786209106
2,0.9891185760498047,0.48334723711013794,0.035340290516614914,1e-04,0.8599181175231934,0.9910117983818054,0.9863899946212769,0.9969462752342224,0.9898974895477295,0.49513962864875793,0.033510930836200714,0.863336980342865,0.9909272193908691,0.9883400201797485,0.9969409704208374
3,0.9907644987106323,0.5479059815406799,0.029595831409096718,1e-04,0.8706541061401367,0.9919127821922302,0.9886882305145264,0.9972609281539917,0.9902430772781372,0.5489245653152466,0.03184911608695984,0.9075486660003662,0.9911296367645264,0.9887526631355286,0.9970090985298157
4,0.9917605519294739,0.5781659483909607,0.02602163329720497,1e-04,0.8783763647079468,0.9926144480705261,0.9898815155029297,0.9974976181983948,0.9916703104972839,0.5599916577339172,0.026840301230549812,0.84499192237854,0.9936448335647583,0.9889284372329712,0.9978370666503906
5,0.9924846291542053,0.609403669834137,0.02389668859541416,1e-04,0.8827270865440369,0.9930746555328369,0.9907517433166504,0.9976576566696167,0.9931370615959167,0.5856701135635376,0.021555090323090553,0.872201681137085,0.9937364459037781,0.9913409948348999,0.9978726506233215
6,0.9932522177696228,0.6342077851295471,0.020708946511149406,1e-04,0.8947716951370239,0.9936022162437439,0.9917147159576416,0.997837483882904,0.9932695031166077,0.5890247225761414,0.020864281803369522,0.882392168045044,0.9941366910934448,0.9912436604499817,0.9979941248893738
7,0.9936158657073975,0.646599531173706,0.019540946930646896,1e-04,0.9013678431510925,0.9938628673553467,0.9921316504478455,0.9979242086410522,0.9937799572944641,0.646527886390686,0.02020224928855896,0.9052057266235352,0.9937670230865479,0.9927846789360046,0.9979035258293152
8,0.9940240979194641,0.664337158203125,0.017776058986783028,1e-04,0.9098591804504395,0.9941543340682983,0.9926483631134033,0.9980245232582092,0.9942312240600586,0.6429258584976196,0.018051087856292725,0.9016323089599609,0.9942834377288818,0.9929291605949402,0.9980655908584595
9,0.9940802454948425,0.6658352017402649,0.01757875271141529,1e-04,0.9155651330947876,0.9941893815994263,0.9926779270172119,0.9980363845825195,0.9938894510269165,0.6517874598503113,0.01904004067182541,0.8879038095474243,0.9938084483146667,0.9927611351013184,0.9979182481765747
10,0.9944841265678406,0.6779773235321045,0.016256757080554962,1e-04,0.9226251840591431,0.9945040345191956,0.9931339025497437,0.9981427788734436,0.9942136406898499,0.6602572798728943,0.018347276374697685,0.9398250579833984,0.994266152381897,0.9930980205535889,0.9980649352073669
11,0.9953154921531677,0.7062841057777405,0.013490102253854275,2e-05,0.9344993829727173,0.9951466917991638,0.9940760135650635,0.9983594417572021,0.9951698184013367,0.6878182291984558,0.014592084102332592,0.9351690411567688,0.9950541257858276,0.9939730763435364,0.9983307719230652
