epoch,accuracy,dice_coef,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9706607460975647,0.35277438163757324,0.10488729178905487,1e-04,0.6823626160621643,0.9768285155296326,0.9552038311958313,0.9935129880905151,0.977766215801239,0.40583235025405884,0.06906832009553909,0.7293229103088379,0.9834135174751282,0.9703470468521118,0.9943245649337769
1,0.9782949686050415,0.4186956286430359,0.06476464867591858,1e-04,0.7564712166786194,0.98552006483078,0.9693512320518494,0.9949858784675598,0.978516697883606,0.4255509376525879,0.06526002287864685,0.7903295755386353,0.9857826828956604,0.9682208299636841,0.9950676560401917
2,0.9813401103019714,0.4506950378417969,0.056729890406131744,1e-04,0.7867764234542847,0.9864943623542786,0.9738044738769531,0.9953316450119019,0.9839509129524231,0.49237725138664246,0.050664130598306656,0.8154113292694092,0.9867534041404724,0.9788567423820496,0.9954670667648315
3,0.9852355122566223,0.5132590532302856,0.04482235014438629,1e-04,0.8022439479827881,0.9877629280090332,0.9806623458862305,0.9958295822143555,0.987174928188324,0.5222205519676208,0.04300636425614357,0.6790542006492615,0.988865077495575,0.9831364154815674,0.9961968660354614
4,0.9865801930427551,0.5558765530586243,0.040500398725271225,1e-04,0.7904105186462402,0.9882299900054932,0.9830220341682434,0.9960026741027832,0.9870076775550842,0.568446159362793,0.03877678140997887,0.8269102573394775,0.9893925189971924,0.9823090434074402,0.9964030981063843
5,0.9877774715423584,0.5799676179885864,0.037175219506025314,1e-04,0.7965690493583679,0.9888572096824646,0.9846351742744446,0.9962334632873535,0.9838489294052124,0.5486160516738892,0.04810919612646103,0.7828710079193115,0.9851183891296387,0.980236828327179,0.994985818862915
6,0.988893449306488,0.6002084612846375,0.033143844455480576,1e-04,0.8135960102081299,0.9894847273826599,0.9861008524894714,0.9964463710784912,0.9900373220443726,0.6326943039894104,0.031085286289453506,0.8458424806594849,0.9899871945381165,0.9881212711334229,0.9966375231742859
7,0.9894182085990906,0.6157527565956116,0.0313732773065567,1e-04,0.8099175095558167,0.9898824691772461,0.9867384433746338,0.9965840578079224,0.9892975687980652,0.6083596348762512,0.03219336271286011,0.7804829478263855,0.9900592565536499,0.9861704111099243,0.9966456294059753
8,0.9888818264007568,0.6074427962303162,0.034002743661403656,1e-04,0.7877109050750732,0.9894720911979675,0.9861065745353699,0.9964431524276733,0.989923894405365,0.6143282651901245,0.03004799410700798,0.8001701831817627,0.990473747253418,0.9869204163551331,0.9967710375785828
9,0.9904413223266602,0.6319166421890259,0.028027590364217758,1e-04,0.8171511888504028,0.9907401204109192,0.987917423248291,0.9968650937080383,0.9891083836555481,0.6127033233642578,0.03209932893514633,0.7873992919921875,0.9895808696746826,0.9867904782295227,0.9964848756790161
