epoch,accuracy,dice_coef,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9811429381370544,0.2794851064682007,0.09041399508714676,0.001,0.5348502397537231,0.981307327747345,0.9770777225494385,0.9941834807395935,0.982112467288971,0.29345548152923584,0.06637914478778839,0.3880668580532074,0.9840895533561707,0.9775593280792236,0.9947037100791931
1,0.9816281795501709,0.32940831780433655,0.06319534778594971,0.001,0.4234553873538971,0.984311044216156,0.9790413975715637,0.9947642087936401,0.982738733291626,0.3646426796913147,0.05557680130004883,0.3929475247859955,0.9900884628295898,0.9777716994285583,0.996647834777832
2,0.9859815835952759,0.42425400018692017,0.045672643929719925,0.001,0.4388992190361023,0.9884399175643921,0.9830366969108582,0.9961101412773132,0.9869301915168762,0.44191595911979675,0.04115584120154381,0.4128258228302002,0.9891068935394287,0.984166145324707,0.9963434338569641
3,0.9874687790870667,0.46986299753189087,0.040793221443891525,0.001,0.47253143787384033,0.9891235828399658,0.9851564168930054,0.9963409304618835,0.9874069094657898,0.5112155675888062,0.036990873515605927,0.425189346075058,0.9888134002685547,0.9850269556045532,0.9962705373764038
4,0.989887535572052,0.5386636853218079,0.03270922601222992,0.001,0.5414277911186218,0.9908124208450317,0.9881006479263306,0.9969104528427124,0.9911430478096008,0.5290520787239075,0.0332302562892437,0.43180206418037415,0.9920655488967896,0.9890384078025818,0.9973154664039612
5,0.9911056160926819,0.5750528573989868,0.029031630605459213,0.001,0.6027206182479858,0.9917967319488525,0.9894527196884155,0.9972379207611084,0.9917404055595398,0.5872831344604492,0.02766619436442852,0.8246989250183105,0.9920461177825928,0.9904316663742065,0.9973302483558655
6,0.9894976615905762,0.5412598252296448,0.03565112128853798,0.001,0.7052522897720337,0.990318238735199,0.9878649711608887,0.9967507123947144,0.9922835826873779,0.6014696359634399,0.02498491108417511,0.8062856793403625,0.9926356077194214,0.9910179376602173,0.9975249171257019
7,0.9923350214958191,0.6182019114494324,0.02444126270711422,0.001,0.7020900249481201,0.9927257299423218,0.9908439517021179,0.9975497126579285,0.9925956726074219,0.5923584699630737,0.02334645763039589,0.7402815222740173,0.9932259917259216,0.9909544587135315,0.9977150559425354
8,0.9926021099090576,0.6286769509315491,0.02317444607615471,0.001,0.6130918264389038,0.9929582476615906,0.991119384765625,0.9976267218589783,0.9912889003753662,0.5621597766876221,0.028025109320878983,0.8069127202033997,0.9916644096374512,0.9901580214500427,0.9971985220909119
9,0.9929301142692566,0.6335015296936035,0.02263340912759304,0.001,0.6267837285995483,0.9932419657707214,0.9914348125457764,0.9977203011512756,0.9933039546012878,0.6299014687538147,0.020613664761185646,0.8129506707191467,0.993445873260498,0.991905927658081,0.9977898597717285
10,0.9932795166969299,0.6489571332931519,0.021036740392446518,0.001,0.7278911471366882,0.9934689998626709,0.9918733239173889,0.9977966547012329,0.9934529662132263,0.6266821622848511,0.019988950341939926,0.7809639573097229,0.994016706943512,0.9916141033172607,0.9979718327522278
11,0.9935470223426819,0.6603493094444275,0.01986338384449482,0.001,0.7700870633125305,0.9936646223068237,0.9921850562095642,0.9978640079498291,0.9928457140922546,0.5794206261634827,0.024411335587501526,0.8196025490760803,0.9938386678695679,0.9904391169548035,0.997906506061554
12,0.9939202070236206,0.6717917919158936,0.018316170200705528,0.001,0.802222728729248,0.9939955472946167,0.9925529956817627,0.9979739785194397,0.9946471452713013,0.668978214263916,0.017024651169776917,0.8204989433288574,0.9945535063743591,0.9933847188949585,0.9981620907783508
13,0.9940842986106873,0.6755212545394897,0.0178450345993042,0.001,0.7754225730895996,0.9940905570983887,0.9927660226821899,0.9980075359344482,0.9936783313751221,0.6563559770584106,0.020572055131196976,0.8202142715454102,0.9938158392906189,0.9923940300941467,0.9979168176651001
